PayPeriodGenID,CompanyRuleID,StartDate,EndDate,TaxYear,CalendarYear,CalendarMonth,PayPeriodInTaxYear,PayPeriodsInMonth,PayPeriodNumberInMonth,PreviousPayPeriodGenID,NextPayPeriodGenID,CalendarDaysInPeriod,WorkDaysInPayPeriod,BusinessDaysInPayPeriod,PayPeriodsInTaxYear,WeeksInMonth
232,5,2017-11-01 00:00:00.000,2017-11-30 00:00:00.000,9,2017,11,2,1,1,231,233,30.00,22.00,22.00,5,4
233,5,2017-12-01 00:00:00.000,2017-12-31 00:00:00.000,9,2017,12,3,1,1,232,234,31.00,21.00,19.00,5,4
234,5,2018-01-01 00:00:00.000,2018-01-31 00:00:00.000,9,2018,1,4,1,1,233,235,31.00,23.00,22.00,5,4
235,5,2018-02-01 00:00:00.000,2018-02-28 00:00:00.000,9,2018,2,5,1,1,234,236,28.00,20.00,20.00,5,4
236,5,2018-03-01 00:00:00.000,2018-03-31 00:00:00.000,10,2018,3,1,1,1,235,237,31.00,22.00,20.00,12,4
237,5,2018-04-01 00:00:00.000,2018-04-30 00:00:00.000,10,2018,4,2,1,1,236,238,30.00,21.00,19.00,12,4
238,5,2018-05-01 00:00:00.000,2018-05-31 00:00:00.000,10,2018,5,3,1,1,237,239,31.00,23.00,22.00,12,4
239,5,2018-06-01 00:00:00.000,2018-06-30 00:00:00.000,10,2018,6,4,1,1,238,240,30.00,21.00,21.00,12,4
240,5,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,10,2018,7,5,1,1,239,241,31.00,22.00,22.00,12,4
241,5,2018-08-01 00:00:00.000,2018-08-31 00:00:00.000,10,2018,8,6,1,1,240,242,31.00,23.00,22.00,12,4
242,5,2018-09-01 00:00:00.000,2018-09-30 00:00:00.000,10,2018,9,7,1,1,241,243,30.00,20.00,19.00,12,4
243,5,2018-10-01 00:00:00.000,2018-10-31 00:00:00.000,10,2018,10,8,1,1,242,244,31.00,23.00,23.00,12,4
244,5,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,10,2018,11,9,1,1,243,245,30.00,22.00,22.00,12,4
245,5,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,10,2018,12,10,1,1,244,246,31.00,21.00,18.00,12,4
246,5,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,10,2019,1,11,1,1,245,247,31.00,23.00,22.00,12,4
247,5,2019-02-01 00:00:00.000,2019-02-28 00:00:00.000,10,2019,2,12,1,1,246,248,28.00,20.00,20.00,12,4
248,5,2019-03-01 00:00:00.000,2019-03-31 00:00:00.000,11,2019,3,1,1,1,247,249,31.00,21.00,20.00,12,4
249,5,2019-04-01 00:00:00.000,2019-04-30 00:00:00.000,11,2019,4,2,1,1,248,250,30.00,22.00,22.00,12,4
250,5,2019-05-01 00:00:00.000,2019-05-31 00:00:00.000,11,2019,5,3,1,1,249,251,31.00,23.00,21.00,12,4
251,5,2019-06-01 00:00:00.000,2019-06-30 00:00:00.000,11,2019,6,4,1,1,250,252,30.00,20.00,19.00,12,4
252,5,2019-07-01 00:00:00.000,2019-07-31 00:00:00.000,11,2019,7,5,1,1,251,253,31.00,23.00,23.00,12,4
253,5,2019-08-01 00:00:00.000,2019-08-31 00:00:00.000,11,2019,8,6,1,1,252,254,31.00,22.00,21.00,12,4
254,5,2019-09-01 00:00:00.000,2019-09-30 00:00:00.000,11,2019,9,7,1,1,253,255,30.00,21.00,20.00,12,4
255,5,2019-10-01 00:00:00.000,2019-10-31 00:00:00.000,11,2019,10,8,1,1,254,256,31.00,23.00,23.00,12,4
256,5,2019-11-01 00:00:00.000,2019-11-30 00:00:00.000,11,2019,11,9,1,1,255,257,30.00,21.00,21.00,12,4
257,5,2019-12-01 00:00:00.000,2019-12-31 00:00:00.000,11,2019,12,10,1,1,256,258,31.00,22.00,19.00,12,4
258,5,2020-01-01 00:00:00.000,2020-01-31 00:00:00.000,11,2020,1,11,1,1,257,259,31.00,23.00,22.00,12,4
259,5,2020-02-01 00:00:00.000,2020-02-29 00:00:00.000,11,2020,2,12,1,1,258,290,29.00,20.00,20.00,12,4
260,6,2017-10-01 00:00:00.000,2017-10-31 00:00:00.000,9,2017,10,1,1,1,0,261,31.00,22.00,22.00,5,4
261,6,2017-11-01 00:00:00.000,2017-11-30 00:00:00.000,9,2017,11,2,1,1,260,262,30.00,22.00,22.00,5,4
262,6,2017-12-01 00:00:00.000,2017-12-31 00:00:00.000,9,2017,12,3,1,1,261,263,31.00,21.00,19.00,5,4
263,6,2018-01-01 00:00:00.000,2018-01-31 00:00:00.000,9,2018,1,4,1,1,262,264,31.00,23.00,22.00,5,4
264,6,2018-02-01 00:00:00.000,2018-02-28 00:00:00.000,9,2018,2,5,1,1,263,265,28.00,20.00,20.00,5,4
265,6,2018-03-01 00:00:00.000,2018-03-31 00:00:00.000,10,2018,3,1,1,1,264,266,31.00,22.00,20.00,12,4
266,6,2018-04-01 00:00:00.000,2018-04-30 00:00:00.000,10,2018,4,2,1,1,265,267,30.00,21.00,19.00,12,4
267,6,2018-05-01 00:00:00.000,2018-05-31 00:00:00.000,10,2018,5,3,1,1,266,268,31.00,23.00,22.00,12,4
268,6,2018-06-01 00:00:00.000,2018-06-30 00:00:00.000,10,2018,6,4,1,1,267,269,30.00,21.00,21.00,12,4
269,6,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,10,2018,7,5,1,1,268,270,31.00,22.00,22.00,12,4
270,6,2018-08-01 00:00:00.000,2018-08-31 00:00:00.000,10,2018,8,6,1,1,269,271,31.00,23.00,22.00,12,4
271,6,2018-09-01 00:00:00.000,2018-09-30 00:00:00.000,10,2018,9,7,1,1,270,272,30.00,20.00,19.00,12,4
272,6,2018-10-01 00:00:00.000,2018-10-31 00:00:00.000,10,2018,10,8,1,1,271,273,31.00,23.00,23.00,12,4
273,6,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,10,2018,11,9,1,1,272,274,30.00,22.00,22.00,12,4
274,6,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,10,2018,12,10,1,1,273,275,31.00,21.00,18.00,12,4
275,6,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,10,2019,1,11,1,1,274,276,31.00,23.00,22.00,12,4
276,6,2019-02-01 00:00:00.000,2019-02-28 00:00:00.000,10,2019,2,12,1,1,275,277,28.00,20.00,20.00,12,4
277,6,2019-03-01 00:00:00.000,2019-03-31 00:00:00.000,11,2019,3,1,1,1,276,278,31.00,21.00,20.00,12,4
278,6,2019-04-01 00:00:00.000,2019-04-30 00:00:00.000,11,2019,4,2,1,1,277,279,30.00,22.00,22.00,12,4
279,6,2019-05-01 00:00:00.000,2019-05-31 00:00:00.000,11,2019,5,3,1,1,278,280,31.00,23.00,22.00,12,4
280,6,2019-06-01 00:00:00.000,2019-06-30 00:00:00.000,11,2019,6,4,1,1,279,281,30.00,20.00,20.00,12,4
281,6,2019-07-01 00:00:00.000,2019-07-31 00:00:00.000,11,2019,7,5,1,1,280,282,31.00,23.00,23.00,12,4
282,6,2019-08-01 00:00:00.000,2019-08-31 00:00:00.000,11,2019,8,6,1,1,281,283,31.00,22.00,21.00,12,4
283,6,2019-09-01 00:00:00.000,2019-09-30 00:00:00.000,11,2019,9,7,1,1,282,284,30.00,21.00,20.00,12,4
284,6,2019-10-01 00:00:00.000,2019-10-31 00:00:00.000,11,2019,10,8,1,1,283,285,31.00,23.00,23.00,12,4
285,6,2019-11-01 00:00:00.000,2019-11-30 00:00:00.000,11,2019,11,9,1,1,284,286,30.00,21.00,21.00,12,4
286,6,2019-12-01 00:00:00.000,2019-12-31 00:00:00.000,11,2019,12,10,1,1,285,287,31.00,22.00,19.00,12,4
287,6,2020-01-01 00:00:00.000,2020-01-31 00:00:00.000,11,2020,1,11,1,1,286,288,31.00,23.00,22.00,12,4
288,6,2020-02-01 00:00:00.000,2020-02-29 00:00:00.000,11,2020,2,12,1,1,287,289,29.00,20.00,20.00,12,4
289,6,2020-03-01 00:00:00.000,2020-03-31 00:00:00.000,12,2020,3,1,1,1,288,294,31.00,22.00,22.00,12,4
290,5,2020-03-01 00:00:00.000,2020-03-31 00:00:00.000,12,2020,3,1,1,1,259,293,31.00,22.00,22.00,12,4
291,4,2020-03-01 00:00:00.000,2020-03-31 00:00:00.000,12,2020,3,1,1,1,225,292,31.00,22.00,22.00,12,4
292,4,2020-04-01 00:00:00.000,2020-04-30 00:00:00.000,12,2020,4,2,1,1,291,295,30.00,22.00,21.00,12,4
293,5,2020-04-01 00:00:00.000,2020-04-30 00:00:00.000,12,2020,4,2,1,1,290,296,30.00,22.00,21.00,12,4
294,6,2020-04-01 00:00:00.000,2020-04-30 00:00:00.000,12,2020,4,2,1,1,289,297,30.00,22.00,21.00,12,4
295,4,2020-05-01 00:00:00.000,2020-05-31 00:00:00.000,12,2020,5,3,1,1,292,298,31.00,21.00,20.00,12,4
296,5,2020-05-01 00:00:00.000,2020-05-31 00:00:00.000,12,2020,5,3,1,1,293,299,31.00,21.00,20.00,12,4
297,6,2020-05-01 00:00:00.000,2020-05-31 00:00:00.000,12,2020,5,3,1,1,294,300,31.00,21.00,20.00,12,4
298,4,2020-06-01 00:00:00.000,2020-06-30 00:00:00.000,12,2020,6,4,1,1,295,301,30.00,22.00,21.00,12,4
299,5,2020-06-01 00:00:00.000,2020-06-30 00:00:00.000,12,2020,6,4,1,1,296,302,30.00,22.00,21.00,12,4
300,6,2020-06-01 00:00:00.000,2020-06-30 00:00:00.000,12,2020,6,4,1,1,297,303,30.00,22.00,21.00,12,4
301,4,2020-07-01 00:00:00.000,2020-07-31 00:00:00.000,12,2020,7,5,1,1,298,304,31.00,23.00,23.00,12,4
302,5,2020-07-01 00:00:00.000,2020-07-31 00:00:00.000,12,2020,7,5,1,1,299,305,31.00,23.00,23.00,12,4
303,6,2020-07-01 00:00:00.000,2020-07-31 00:00:00.000,12,2020,7,5,1,1,300,306,31.00,23.00,23.00,12,4
304,4,2020-08-01 00:00:00.000,2020-08-31 00:00:00.000,12,2020,8,6,1,1,301,307,31.00,21.00,20.00,12,4
305,5,2020-08-01 00:00:00.000,2020-08-31 00:00:00.000,12,2020,8,6,1,1,302,308,31.00,21.00,20.00,12,4
306,6,2020-08-01 00:00:00.000,2020-08-31 00:00:00.000,12,2020,8,6,1,1,303,309,31.00,21.00,21.00,12,4
307,4,2020-09-01 00:00:00.000,2020-09-30 00:00:00.000,12,2020,9,7,1,1,304,310,30.00,22.00,21.00,12,4
308,5,2020-09-01 00:00:00.000,2020-09-30 00:00:00.000,12,2020,9,7,1,1,305,311,30.00,22.00,21.00,12,4
309,6,2020-09-01 00:00:00.000,2020-09-30 00:00:00.000,12,2020,9,7,1,1,306,312,30.00,22.00,21.00,12,4
310,4,2020-10-01 00:00:00.000,2020-10-31 00:00:00.000,12,2020,10,8,1,1,307,313,31.00,22.00,22.00,12,4
311,5,2020-10-01 00:00:00.000,2020-10-31 00:00:00.000,12,2020,10,8,1,1,308,314,31.00,22.00,22.00,12,4
312,6,2020-10-01 00:00:00.000,2020-10-31 00:00:00.000,12,2020,10,8,1,1,309,315,31.00,22.00,22.00,12,4
313,4,2020-11-01 00:00:00.000,2020-11-30 00:00:00.000,12,2020,11,9,1,1,310,316,30.00,21.00,21.00,12,4
314,5,2020-11-01 00:00:00.000,2020-11-30 00:00:00.000,12,2020,11,9,1,1,311,317,30.00,21.00,21.00,12,4
315,6,2020-11-01 00:00:00.000,2020-11-30 00:00:00.000,12,2020,11,9,1,1,312,318,30.00,21.00,21.00,12,4
316,4,2020-12-01 00:00:00.000,2020-12-31 00:00:00.000,12,2020,12,10,1,1,313,319,31.00,23.00,21.00,12,4
317,5,2020-12-01 00:00:00.000,2020-12-31 00:00:00.000,12,2020,12,10,1,1,314,320,31.00,23.00,21.00,12,4
318,6,2020-12-01 00:00:00.000,2020-12-31 00:00:00.000,12,2020,12,10,1,1,315,321,31.00,23.00,21.00,12,4
319,4,2021-01-01 00:00:00.000,2021-01-31 00:00:00.000,12,2021,1,11,1,1,316,322,31.00,21.00,20.00,12,4
320,5,2021-01-01 00:00:00.000,2021-01-31 00:00:00.000,12,2021,1,11,1,1,317,323,31.00,21.00,20.00,12,4
321,6,2021-01-01 00:00:00.000,2021-01-31 00:00:00.000,12,2021,1,11,1,1,318,324,31.00,21.00,20.00,12,4
322,4,2021-02-01 00:00:00.000,2021-02-28 00:00:00.000,12,2021,2,12,1,1,319,325,28.00,20.00,20.00,12,4
323,5,2021-02-01 00:00:00.000,2021-02-28 00:00:00.000,12,2021,2,12,1,1,320,326,28.00,20.00,20.00,12,4
324,6,2021-02-01 00:00:00.000,2021-02-28 00:00:00.000,12,2021,2,12,1,1,321,327,28.00,20.00,20.00,12,4
325,4,2021-03-01 00:00:00.000,2021-03-31 00:00:00.000,13,2021,3,1,1,1,322,328,31.00,23.00,22.00,12,4
326,5,2021-03-01 00:00:00.000,2021-03-31 00:00:00.000,13,2021,3,1,1,1,323,329,31.00,23.00,22.00,12,4
327,6,2021-03-01 00:00:00.000,2021-03-31 00:00:00.000,13,2021,3,1,1,1,324,330,31.00,23.00,23.00,12,4
328,4,2021-04-01 00:00:00.000,2021-04-30 00:00:00.000,13,2021,4,2,1,1,325,332,30.00,22.00,21.00,12,4
329,5,2021-04-01 00:00:00.000,2021-04-30 00:00:00.000,13,2021,4,2,1,1,326,331,30.00,22.00,21.00,12,4
330,6,2021-04-01 00:00:00.000,2021-04-30 00:00:00.000,13,2021,4,2,1,1,327,333,30.00,22.00,21.00,12,4
331,5,2021-05-01 00:00:00.000,2021-05-31 00:00:00.000,13,2021,5,3,1,1,329,335,31.00,21.00,21.00,12,4
332,4,2021-05-01 00:00:00.000,2021-05-31 00:00:00.000,13,2021,5,3,1,1,328,334,31.00,21.00,21.00,12,4
333,6,2021-05-01 00:00:00.000,2021-05-31 00:00:00.000,13,2021,5,3,1,1,330,336,31.00,21.00,21.00,12,4
334,4,2021-06-01 00:00:00.000,2021-06-30 00:00:00.000,13,2021,6,4,1,1,332,337,30.00,22.00,21.00,12,4
335,5,2021-06-01 00:00:00.000,2021-06-30 00:00:00.000,13,2021,6,4,1,1,331,338,30.00,22.00,21.00,12,4
336,6,2021-06-01 00:00:00.000,2021-06-30 00:00:00.000,13,2021,6,4,1,1,333,339,30.00,22.00,21.00,12,4
337,4,2021-07-01 00:00:00.000,2021-07-31 00:00:00.000,13,2021,7,5,1,1,334,340,31.00,22.00,22.00,12,4
338,5,2021-07-01 00:00:00.000,2021-07-31 00:00:00.000,13,2021,7,5,1,1,335,341,31.00,22.00,22.00,12,4
339,6,2021-07-01 00:00:00.000,2021-07-31 00:00:00.000,13,2021,7,5,1,1,336,342,31.00,22.00,22.00,12,4
340,4,2021-08-01 00:00:00.000,2021-08-31 00:00:00.000,13,2021,8,6,1,1,337,343,31.00,22.00,21.00,12,4
341,5,2021-08-01 00:00:00.000,2021-08-31 00:00:00.000,13,2021,8,6,1,1,338,344,31.00,22.00,21.00,12,4
342,6,2021-08-01 00:00:00.000,2021-08-31 00:00:00.000,13,2021,8,6,1,1,339,345,31.00,22.00,21.00,12,4
343,4,2021-09-01 00:00:00.000,2021-09-30 00:00:00.000,13,2021,9,7,1,1,340,346,30.00,22.00,21.00,12,4
344,5,2021-09-01 00:00:00.000,2021-09-30 00:00:00.000,13,2021,9,7,1,1,341,347,30.00,22.00,21.00,12,4
345,6,2021-09-01 00:00:00.000,2021-09-30 00:00:00.000,13,2021,9,7,1,1,342,348,30.00,22.00,21.00,12,4
346,4,2021-10-01 00:00:00.000,2021-10-31 00:00:00.000,13,2021,10,8,1,1,343,349,31.00,21.00,21.00,12,4
347,5,2021-10-01 00:00:00.000,2021-10-31 00:00:00.000,13,2021,10,8,1,1,344,350,31.00,21.00,21.00,12,4
348,6,2021-10-01 00:00:00.000,2021-10-31 00:00:00.000,13,2021,10,8,1,1,345,351,31.00,21.00,21.00,12,4
349,4,2021-11-01 00:00:00.000,2021-11-30 00:00:00.000,13,2021,11,9,1,1,346,352,30.00,22.00,22.00,12,4
350,5,2021-11-01 00:00:00.000,2021-11-30 00:00:00.000,13,2021,11,9,1,1,347,353,30.00,22.00,22.00,12,4
351,6,2021-11-01 00:00:00.000,2021-11-30 00:00:00.000,13,2021,11,9,1,1,348,354,30.00,22.00,22.00,12,4
352,4,2021-12-01 00:00:00.000,2021-12-31 00:00:00.000,13,2021,12,10,1,1,349,355,31.00,23.00,22.00,12,4
353,5,2021-12-01 00:00:00.000,2021-12-31 00:00:00.000,13,2021,12,10,1,1,350,356,31.00,23.00,22.00,12,4
354,6,2021-12-01 00:00:00.000,2021-12-31 00:00:00.000,13,2021,12,10,1,1,351,357,31.00,23.00,22.00,12,4
355,4,2022-01-01 00:00:00.000,2022-01-31 00:00:00.000,13,2022,1,11,1,1,352,358,31.00,21.00,21.00,12,4
356,5,2022-01-01 00:00:00.000,2022-01-31 00:00:00.000,13,2022,1,11,1,1,353,359,31.00,21.00,21.00,12,4
357,6,2022-01-01 00:00:00.000,2022-01-31 00:00:00.000,13,2022,1,11,1,1,354,360,31.00,21.00,21.00,12,4
358,4,2022-02-01 00:00:00.000,2022-02-28 00:00:00.000,13,2022,2,12,1,1,355,361,28.00,20.00,20.00,12,4
359,5,2022-02-01 00:00:00.000,2022-02-28 00:00:00.000,13,2022,2,12,1,1,356,362,28.00,20.00,20.00,12,4
360,6,2022-02-01 00:00:00.000,2022-02-28 00:00:00.000,13,2022,2,12,1,1,357,363,28.00,20.00,20.00,12,4
361,4,2022-03-01 00:00:00.000,2022-03-31 00:00:00.000,14,2022,3,1,1,1,358,364,31.00,23.00,22.00,12,4
362,5,2022-03-01 00:00:00.000,2022-03-31 00:00:00.000,14,2022,3,1,1,1,359,365,31.00,23.00,22.00,12,4
363,6,2022-03-01 00:00:00.000,2022-03-31 00:00:00.000,14,2022,3,1,1,1,360,366,31.00,23.00,22.00,11,4
364,4,2022-04-01 00:00:00.000,2022-04-30 00:00:00.000,14,2022,4,2,1,1,361,367,30.00,21.00,20.00,12,4
365,5,2022-04-01 00:00:00.000,2022-04-30 00:00:00.000,14,2022,4,2,1,1,362,368,30.00,21.00,20.00,12,4
366,6,2022-04-01 00:00:00.000,2022-04-30 00:00:00.000,14,2022,4,2,1,1,363,369,30.00,21.00,20.00,11,4
367,4,2022-05-01 00:00:00.000,2022-05-31 00:00:00.000,14,2022,5,3,1,1,364,370,31.00,22.00,22.00,12,4
368,5,2022-05-01 00:00:00.000,2022-05-31 00:00:00.000,14,2022,5,3,1,1,365,371,31.00,22.00,22.00,12,4
369,6,2022-05-01 00:00:00.000,2022-05-31 00:00:00.000,14,2022,5,3,1,1,366,372,31.00,22.00,22.00,11,4
370,4,2022-06-01 00:00:00.000,2022-06-30 00:00:00.000,14,2022,6,4,1,1,367,373,30.00,22.00,21.00,12,4
371,5,2022-06-01 00:00:00.000,2022-06-30 00:00:00.000,14,2022,6,4,1,1,368,374,30.00,22.00,21.00,12,4
372,6,2022-06-01 00:00:00.000,2022-06-30 00:00:00.000,14,2022,6,4,1,1,369,375,30.00,22.00,21.00,11,4
373,4,2022-07-01 00:00:00.000,2022-07-31 00:00:00.000,14,2022,7,5,1,1,370,376,31.00,21.00,21.00,12,4
374,5,2022-07-01 00:00:00.000,2022-07-31 00:00:00.000,14,2022,7,5,1,1,371,377,31.00,21.00,21.00,12,4
375,6,2022-07-01 00:00:00.000,2022-07-31 00:00:00.000,14,2022,7,5,1,1,372,378,31.00,21.00,21.00,11,4
376,4,2022-08-01 00:00:00.000,2022-08-31 00:00:00.000,14,2022,8,6,1,1,373,379,31.00,23.00,22.00,12,4
377,5,2022-08-01 00:00:00.000,2022-08-31 00:00:00.000,14,2022,8,6,1,1,374,380,31.00,23.00,22.00,12,4
378,6,2022-08-01 00:00:00.000,2022-08-31 00:00:00.000,14,2022,8,6,1,1,375,381,31.00,23.00,22.00,11,4
379,4,2022-09-01 00:00:00.000,2022-09-30 00:00:00.000,14,2022,9,7,1,1,376,382,30.00,22.00,22.00,12,4
380,5,2022-09-01 00:00:00.000,2022-09-30 00:00:00.000,14,2022,9,7,1,1,377,383,30.00,22.00,22.00,12,4
381,6,2022-09-01 00:00:00.000,2022-09-30 00:00:00.000,14,2022,9,7,1,1,378,384,30.00,22.00,22.00,11,4
382,4,2022-10-01 00:00:00.000,2022-10-31 00:00:00.000,14,2022,10,8,1,1,379,385,31.00,21.00,21.00,12,4
383,5,2022-10-01 00:00:00.000,2022-10-31 00:00:00.000,14,2022,10,8,1,1,380,386,31.00,21.00,21.00,12,4
384,6,2022-10-01 00:00:00.000,2022-10-31 00:00:00.000,14,2022,10,8,1,1,381,397,31.00,21.00,21.00,11,4
385,4,2022-11-01 00:00:00.000,2022-11-30 00:00:00.000,14,2022,11,9,1,1,382,387,30.00,22.00,22.00,12,4
386,5,2022-11-01 00:00:00.000,2022-11-30 00:00:00.000,14,2022,11,9,1,1,383,388,30.00,22.00,22.00,12,4
387,4,2022-12-01 00:00:00.000,2022-12-31 00:00:00.000,14,2022,12,10,1,1,385,389,31.00,22.00,20.00,12,4
388,5,2022-12-01 00:00:00.000,2022-12-31 00:00:00.000,14,2022,12,10,1,1,386,390,31.00,22.00,20.00,12,4
389,4,2023-01-01 00:00:00.000,2023-01-31 00:00:00.000,14,2023,1,11,1,1,387,391,31.00,22.00,22.00,12,4
390,5,2023-01-01 00:00:00.000,2023-01-31 00:00:00.000,14,2023,1,11,1,1,388,392,31.00,22.00,22.00,12,4
391,4,2023-02-01 00:00:00.000,2023-02-28 00:00:00.000,14,2023,2,12,1,1,389,393,28.00,20.00,20.00,12,4
392,5,2023-02-01 00:00:00.000,2023-02-28 00:00:00.000,14,2023,2,12,1,1,390,394,28.00,20.00,20.00,12,4
393,4,2023-03-01 00:00:00.000,2023-03-31 00:00:00.000,15,2023,3,1,1,1,391,395,31.00,23.00,22.00,12,4
394,5,2023-03-01 00:00:00.000,2023-03-31 00:00:00.000,15,2023,3,1,1,1,392,396,31.00,23.00,22.00,12,4
395,4,2023-04-01 00:00:00.000,2023-04-30 00:00:00.000,15,2023,4,2,1,1,393,400,30.00,20.00,19.00,12,4
396,5,2023-04-01 00:00:00.000,2023-04-30 00:00:00.000,15,2023,4,2,1,1,394,401,30.00,20.00,19.00,12,4
397,6,2022-11-01 00:00:00.000,2022-11-30 00:00:00.000,14,2022,11,9,1,1,384,398,30.00,22.00,22.00,11,4
398,6,2022-12-01 00:00:00.000,2022-12-31 00:00:00.000,14,2022,12,10,1,1,397,399,31.00,22.00,20.00,11,4
399,6,2023-01-01 00:00:00.000,2023-01-31 00:00:00.000,14,2023,1,11,1,1,398,0,31.00,22.00,22.00,11,4
400,4,2023-05-01 00:00:00.000,2023-05-31 00:00:00.000,15,2023,5,3,1,1,395,402,31.00,23.00,22.00,12,4
401,5,2023-05-01 00:00:00.000,2023-05-31 00:00:00.000,15,2023,5,3,1,1,396,403,31.00,23.00,22.00,12,4
402,4,2023-06-01 00:00:00.000,2023-06-30 00:00:00.000,15,2023,6,4,1,1,400,404,30.00,22.00,21.00,12,4
403,5,2023-06-01 00:00:00.000,2023-06-30 00:00:00.000,15,2023,6,4,1,1,401,405,30.00,22.00,21.00,12,4
404,4,2023-07-01 00:00:00.000,2023-07-31 00:00:00.000,15,2023,7,5,1,1,402,407,31.00,21.00,21.00,12,4
